Event,Gender,Age,Age at Performance,Time,TIME_SEC,Fname,Lname,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COURSE_CERT_SOURCE
20 km,M,28,28y143d,56:54,3414,Abayneh,Ayele Woldegiorgis,ETH,11/4/87,,Cardiff WAL,3/26/16,
20 km,M,29,29y313d,56:26,3386,Steven,Kibet Kosgei,KEN,11/9/86,,Copenhagen DEN,9/18/16,
20 km,M,30,30y3d,57:42,3462,Girma,Tola,ETH,10/13/75,,Paris FRA,10/16/05,
20 km,M,31,31y357d,57:54,3474,Salah,Hissou,MAR,3/16/72,,Alphen aan den Rijn NED,3/7/04,
20 km,M,32,32y309d,58:23,3503,Worku,Bikila,ETH,5/6/68,,Alphen aan den Rijn NED,3/11/01,
20 km,M,33,33y3d,56:55,3415,Mohamed,Farah,ENG,3/23/83,,Cardiff WAL,3/26/16,
20 km,M,34,34y237d,58:28,3508,Gilbert,Rutto,KEN,1/10/61,,New Haven CT USA,9/4/95,
20 km,M,35,35y121d,56:27,3387,Gilbert,Masai,KEN,5/20/81,,Copenhagen DEN,9/18/16,
20 km,M,36,36y102d,58:42,3522,Abdellah,Behar,FRA,7/7/63,,Paris FRA,10/17/99,
20 km,M,37,37y109d,59:07,3547,Domingos,Castro,POR,11/22/63,,Alphen aan den Rijn NED,3/11/01,
20 km,M,38,38y112d,59:03,3543,Paulo,Catarino,POR,9/30/63,,Almeirim POR,1/20/02,
20 km,M,39,39y16d,59:17,3557,Brahim,Lahlafi,MAR,4/15/68,,Maroilles FRA,5/1/07,
20 km,M,40,40y145d,59:43,3583,Meb,Keflezighi,USA,5/5/75,Rock 'n' Roll Half Marathon San Jose (20K  split),"San Jose, CA",9/27/15,M40-44 AR
20 km,M,41,41y207d,1:02:56,3776,Theo,Vanden Abeel,BEL,8/15/60,,Alphen aan den Rijn NED,3/10/02,
20 km,M,42,42y208d,1:02:42,3762,Diego-Alberto,Colorado,COL,8/31/73,,Cardiff WAL,3/26/16,
20 km,M,43,48y247d,1:05:39,3939,Paul,Thompson,USA,12/28/65,New Haven 20K,"New Haven, CT",9/1/14,CT01017DR
20 km,M,44,44y259d,1:03:07,3787,Bill,Rodgers,USA,12/23/47,,New Haven CT USA,9/7/92,
20 km,M,45,45y192d,1:02:17,3737,Michael,Hurd,ENG,12/19/45,,Hardelot FRA,6/29/91,
20 km,M,46,46y289d,1:05:05,3905,David,Chawane,RSA,9/17/59,,East London RSA,7/2/06,
20 km,M,47,47y104d,1:06:38,3998,Sal,Vasquez,USA,12/15/39,,"El Cajon, CA",3/28/87,RRIC
20 km,M,48,48y205d,1:07:47,4067,Theo,Vanden Abeel,BEL,8/15/60,,Alphen aan den Rijn NED,3/8/09,
20 km,M,49,80y278d,1:06:05,3965,Hal,Higdon,USA,,Brooks Masters,"Chesterton, IN",10/4/80,RRIC
20 km,M,50,50y336d,1:05:50,3950,Norm,Green,USA,6/27/32,,Washington DC USA,5/29/83,
20 km,M,51,51y297d,1:06:01,3961,Hal,Higdon,USA,6/17/31,Pear Blossom,"Medford, OR",4/9/83,RRIC
20 km,M,52,52y70d,1:07:14,4034,Ray,Hatton,USA,2/4/32,Pear Blossom,"Medford, OR",4/14/84,RRIC & Andy Carr
20 km,M,52,52y335d,1:09:50,4190,Philippe,Remond,FRA,11/9/63,,Paris FRA,10/9/16,
20 km,M,53,52y70d,1:11:11,0,Ray,Hatton,USA,2/4/32,Pear Blossom,"Medford, OR",4/14/84,RRIC & Andy Carr
20 km,M,54,54y123d,1:08:33,4113,Alain,Mimoun,FRA,1/1/21,,Draveil FRA,5/4/75,
20 km,M,55,52y70d,1:09:23,4163,Ray,Hatton,USA,2/4/32,Pear Blossom,"Medford, OR",4/14/84,RRIC & Andy Carr
20 km,M,56,56y285d,1:08:07,4087,Norm,Green,USA,6/27/32,,Medford OR USA,4/8/89,
20 km,M,57,57y299d,1:11:14,4274,Norm,Green,USA,6/27/32,Penn Relays Distance Classic,"Philadelphia, PA",04/22/1990,RRIC & Andy Carr
20 km,M,58,58y302d,1:13:57,4437,Johnny,Kelley,USA,9/6/07,,Needham MA USA,7/4/66,
20 km,M,59,59y311d,1:16:39,4599,Johnny,Dugdale,USA,10/29/34,New Haven 20K,"New Haven, CT",9/5/94,RRIC & Andy Carr
20 km,M,60,60y216d,1:12:36,4356,Doug,Winn,USA,2/2/50,New Haven 20K,"New Haven, CT",9/6/10,
20 km,M,61,61y14d,1:17:35,4655,Norman,Eastman,USA,5/9/31,,MI,5/23/92,RRIC & Andy Carr
20 km,M,62,62y187d,1:16:55,4615,Hubert,Morgan,USA,3/20/22,Wyoming Valley Striders,"Wilkes-Barre, PA",9/23/84,RRIC & Andy Carr
20 km,M,63,63y52d,1:20:48,4848,Gerald,Horton,USA,12/12/22,Barber's Point RRCA Champ,"Honolulu, HI",2/2/86,RRIC & Andy Carr
20 km,M,64,64y229d,1:18:52,4732,Don,Longennecker,USA,3/25/16,,Tucson AZ USA,11/9/80,
20 km,M,65,65y261d,1:19:33,4773,Monty,Montgomery,USA,7/14/06,,Los Angeles CA USA,4/1/72,
20 km,M,66,66y123d,1:20:53,4853,Norman,Bright,USA,1/19/10,National Masters,"Washington, DC",05/22/1976,RRIC & Andy Carr
20 km,M,67,67y207d,1:13:25,4405,Patrick,Roussel,FRA,3/19/47,,Paris FRA,10/12/14,
20 km,M,68,68y197d,1:20:05,4805,Doug,Goodhue,USA,2/21/42,New Haven 20K,"New Haven, CT",9/6/10,CT01017DR
20 km,M,69,69y360d,1:25:02,5102,Paul,Reese,USA,4/17/17,Pear Blossom,"Medford, OR",4/12/87,RRIC & Andy Carr
20 km,M,70,85y365d,1:20:11,4811,Warren,Utes,USA,7/12/07,Chicago Distance Classic,"Chicago, IL",07/11/1993,RRIC
20 km,M,71,71y35d,1:26:27,5187,Ron,Legg,USA,8/20/45,Akron Half Marathon (20K split),"Akron, OH",09/24/2016,Andy Carr
20 km,M,72,85y0d,1:23:15,4995,Warren,Utes,USA,7/12/07,Chicago Distance Classic,"Chicago, IL",07/12/1992,RRIC & Andy Carr
20 km,M,73,85y365d,1:25:30,5130,Warren,Utes,USA,7/12/07,Chicago Distance Classic,"Chicago, IL",07/11/1993,RRIC & Andy Carr
20 km,M,74,74y133d,1:29:28,5368,Doug,Goodhue,USA,2/21/42,Volkslaufe 20K,"Frankenmuth, MI",07/04/2016,MI16002SH
20 km,M,75,87y363d,1:23:15,4995,Warren,Utes,USA,7/12/07,Chicago Distance Classic,"Chicago, IL",07/09/1995,RRIC & Andy Carr
20 km,M,76,76y194d,1:37:05,5825,Ed,Benham,USA,7/12/07,Snowball Derby #5,Washington DC USA,01/22/1984,RRIC & Andy Carr
20 km,M,77,77y319d,1:32:14,5534,Ed,Benham,USA,7/12/07,TAC Masters,Washington DC USA,05/26/1985,RRIC & Andy Carr
20 km,M,78,78y137d,1:43:35,6215,Dudley,Healy,USA,4/23/14,New Haven 20K,"New Haven, CT",09/07/1992,RRIC & Andy Carr
20 km,M,79,79y154d,1:50:10,6610,Ed,Vuolo,USA,4/3/16,New Haven 20K,"New Haven, CT",09/04/1995,RRIC & Andy Carr
20 km,M,80,80y125d,1:36:40,5800,John,Keston,USA,12/5/24,Fetzer Memorial,"Rochester, MN",04/09/2005,Andy Carr
20 km,M,81,81y271d,1:33:56,5636,Ed,Benham,USA,7/12/07,,Medford OR USA,04/08/1989,
20 km,M,82,82y257d,1:48:41,6521,Geoffrey,Etherington,USA,12/22/28,New Haven 20K,"New Haven, CT",9/5/11,CT01017DR
20 km,M,83,83y255d,1:50:09,6609,Geoffrey,Etherington,USA,12/22/28,New Haven 20K,"New Haven, CT",9/3/12,CT12032JHP
20 km,M,84,,2:58:53,10733,George,Whitney,USA,,New Haven 20K,"New Haven, CT",9/1/03,
20 km,M,85,85y7d,2:07:49,7669,Paul,Spangler,USA,3/18/1899,Capitol City Classic,"Sacramento, CA",3/25/84,RRIC & Andy Carr
20 km,M,86,,2:56:32,10592,Earl,Bailey,USA,,TAC Masters,Washington,05/26/1985,RRIC & Andy Carr
20 km,M,88,88y354d,2:48:06,10086,Paul,Spangler,USA,3/18/1899,South Bay,"Los Osos, CA",3/6/88,RRIC & Andy Carr
