Event,Gender,Age,Age at Performance,,,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COURSE_CERT_SOURCE,COMMENTS,,,,
5 km,F,58,58y38d,58,38,18:47,1127,Rose,Lambe,IRL,10/25/59,,Dublin IRL,12/2/17,,,,,,
5 km,F,59,59y30d,59,30,18:58,1138,Daphne,Ellmore,ENG,5/22/50,,Horwich ENG,6/21/09,,,,,,
5 km,F,60,60y2d,60,2,19:04,1144,Kathryn,Martin,USA,9/30/51,USATF Masters 5 km Championships,Syracuse NY USA,10/2/11,,official F60-64 AR,,,,
5 km,F,61,61y95d,61,95,19:14,1154,Sabra,Harvey,USA,3/2/49,Heights Fun 5K,Houston TX USA,6/5/10,,,,,,
5 km,F,62,62y6d,62,6,19:06,1146,Kathryn,Martin,USA,9/30/51,USATF Masters 5 km Championships,Syracuse NY USA,10/6/13,,,,,,
5 km,F,63,63y359d,63,359,20:27,1227,Marie-Louise,Michelsohn,USA,10/8/41,Syracuse Festival of Races,Syracuse NY USA,10/2/05,,,,,,
5 km,F,64,64y23d,64,23,19:23,1163,Angela,Copson,ENG,4/20/47,,Northampton ENG,5/13/11,,,,,,
5 km,F,65,65y2d,65,2,19:57,1197,Kathryn,Martin,USA,9/30/51,USATF Masters 5 km Championships,Syracuse NY USA,10/2/16,,,,,,
5 km,F,66,66y320d,66,320,20:04,1204,Janette,Stevenson,SCO,5/3/49,,Clydebank SCO,3/19/16,,,,,,
5 km,F,67,67y38d,67,38,20:32,1232,Sabra,Harvey,USA,3/2/49,Bellaire Trolley Run 5K,"Houston, TX",4/9/16,TX07014ETM,,,,,
5 km,F,68,68y93d,68,93,19:51,1191,Sabra,Harvey,USA,3/2/49,,Houston TX USA,6/3/17,,,,,,
5 km,F,69,69y60d,69,60,21:24,1284,Angela,Copson,ENG,4/20/47,,Horwich ENG,6/19/16,,,,,,
5 km,F,70,70y0d,70,0,22:03,1323,Jan,Holmquist,USA,5/18/44,Evans Run 5K,Evans Run 5K,5/18/14,Andy Carr,,,,,
5 km,F,71,71y141d,71,141,21:49,1309,Jeannie,Rice,USA,4/14/48,John Clay 5K,"Naples, FL",9/2/19,FL15081EBM,,,,,
5 km,F,72,,,,23:13,1393,Lynette,Walker,USA,,Simsbury River Run,"Simsbury, CT",4/29/12,Andy Carr,,,,,
5 km,F,73,73y136d,73,136,22:27,1347,Jan,Holmquist,USA,5/18/44,USATF Masters 5 km Championships,Syracuse NY USA,10/1/17,,,,,,
5 km,F,74,74y243d,74,243,23:44,1424,Libby,James,USA,7/12/36,Sharin O the Green 5K Run,"Ft Collins, CO",3/12/11,CO12036DCR,,,,,
5 km,F,75,75y325d,75,325,23:34,1414,Libby,James,USA,7/12/36,Freihofer's Run for Women,Albany NY USA,6/2/12,,,,,,
5 km,F,76,76y324d,76,324,23:55,1435,Libby,James,USA,7/12/36,Freihofer's Run for Women,Albany NY USA,6/1/13,Andy Carr,,,,,
5 km,F,77,77y323d,77,323,24:16,1456,Libby,James,USA,7/12/36,Freihofer's Run for Women,Albany NY USA,5/31/14,,,,,,
5 km,F,78,78y85d,78,85,24:00,1440,Libby,James,USA,7/12/36,USATF Masters 5 km Championships,Syracuse NY USA,10/5/14,,,,,,
5 km,F,79,79y357d,79,357,25:13,1513,Libby,James,USA,7/12/36,Firekracker 5K,"Ft. Collins, CO",7/4/16,CO14011DCR,,,,,
5 km,F,80,80y82d,80,82,25:11,1511,Libby,James,USA,7/12/36,USATF Masters 5 km Championships,Syracuse NY USA,10/2/16,,official F80-84 AR,,,,
5 km,F,81,81y325d,81,325,26:49,1609,Libby,James,USA,7/12/36,Freihofer's Run for Women,Albany NY USA,6/2/18,NY15030JG,,,,,
5 km,F,82,82y324d,82,324,29:40,1780,Libby,James,USA,7/12/36,Freihofer's Run for Women,Albany NY USA,6/1/19,NY15030JG,,,,,
5 km,F,83,83y17d,83,17,30:10,1810,Lenore,Montgomery,CAN,5/28/30,,Vancouver BC CAN,6/14/13,,,,,,
5 km,F,84,84y152d,84,152,31:38,1898,Anne,Clarke,USA,9/21/09,,IL,2/20/94,RRIC,,,,,
5 km,F,85,85y3d,85,3,34:51,2091,Anne,Clarke,USA,9/21/09,Park Ridge Charity Classic,"Park Ridge, IL",9/24/94,RRIC & Andy Carr,,,,,
5 km,F,86,86y309d,86,309,34:23,2063,Lenore,Montgomery,CAN,5/28/30,Carlsbad 5000,Carlsbad CA USA,4/2/17,,,,,,
5 km,F,87,87y176d,87,176,38:09,2289,Leona,Lugers,USA,11/26/06,,MI,5/21/94,RRIC,,,,,
5 km,F,88,88y237d,88,237,41:26,2486,Anne,Clarke,USA,9/21/09,Berwyn 5000,"Berwyn, IL",5/16/98,RRIC & Andy Carr,,,,,
5 km,F,89,97y285d,97,285,41:05,2465,Kelsig,Francis,USA,,,CA,10/12/97,RRIC,,,,,
5 km,F,90,90y150d,90,150,43:12,2592,Harriette,Thompson,USA,3/27/23,Yiason Greek Festival,"Charlotte, NC",8/24/13,NC01052PH,"cert ran out in 2011, but they still use the same course",,,,
5 km,F,91,91y30d,91,30,42:22,2542,Harriette,Thompson,USA,3/27/23,CPCC Charlotte Skyline 5K,"Charlotte, NC",4/26/14,NC08034PH,,,,,
5 km,F,92,92y36d,92,36,44:26,2666,Harriette,Thompson,USA,3/27/23,Run! Ballantyne 5K,"Charlotte, NC",5/2/15,NC10020PH,,,,,
5 km,F,94,94y53d,94,53,48:55,2935,Evelyn,Tripp,USA,1/19/16,Get to the Green 5K,"Columbia, SC",3/13/10,SC09013BS,,,,,
5 km,F,95,98y158d,98,158,1:05:08,3908,Berna,Supel,USA,,,"Washington, DC",6/7/98,RRIC,,,,,
