Event,Gender,Age,Age at Performance,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COURSE_CERT_SOURCE,,,,,,,
Marathon,M,31,31y170d,2:3:5,7385,Eliud,Kipchoge ,KEN,11/5/1984,London Marathon,London ENG,4/24/2016,,,,,,,,
Marathon,M,32,32y323d,2:3:32,7412,Eliud,Kipchoge ,KEN,11/5/1984,Berlin Marathon,Berlin GER,9/24/2017,,,,,,,,
Marathon,M,33,33y315d,2:1:39,7299,Eliud,Kipchoge ,KEN,11/5/1984,Berlin Marathon,Berlin GER,9/16/2018,,,,,,,,
Marathon,M,34,34y174d,2:2:37,7357,Eliud,Kipchoge ,KEN,11/5/1984,London Marathon,London ENG,4/28/2019,,,,,,,,
Marathon,M,35,35y163d,2:3:59,7439,Haile,Gebreselasie ,ETH,4/18/1973,Berlin Marathon,Berlin GER,9/28/2008,,,,,,,,
Marathon,M,36,36y339d,2:5:27,7527,Jaouad,Gharib ,MAR,5/22/1972,London Marathon,London ENG,4/26/2009,,,,,,,,
Marathon,M,37,37y108d,2:1:41,7301,Kenenisa,Bekele Beyeche,ETH,6/13/1982,Berlin Marathon,Berlin GER,9/29/2019,,,,,,,,
Marathon,M,38,38y109d,2:6:5,7565,Mariko,Kiplagat Kipchumba,KEN,7/4/1974,,Reims FRA,10/21/2012,,,,,,,,
Marathon,M,39,39y112d,2:6:0,7560,Mark,Kiptoo Kosgei,KEN,6/21/1976,,Eindhoven NED,10/11/2015,,,,,,,,
Marathon,M,40,40y236d,2:8:46,7726,Andres,Espinosa Perez,MEX,2/4/1963,,Berlin GER,9/28/2003,,,,,,,,
Marathon,M,41,41y301d,2:8:42,7722,Kenneth,Mburu Mungara,KEN,9/7/1973,Gold Coast Marathon,Gold Coast AUS,7/5/2015,,,,,,,,
Marathon,M,42,42y129d,2:7:50,7670,Mark,Kiptoo Kosgei,KEN,6/21/1976,,Frankfurt GER,10/28/2018,,,,,,,,
Marathon,M,43,43y298d,2:9:4,7744,Kenneth,Mburu Mungara,KEN,9/7/1973,Gold Coast Marathon,Gold Coast AUS,7/2/2017,,,,,,,,
Marathon,M,44,44y297d,2:9:9,7749,Kenneth,Mburu Mungara,KEN,9/7/1973,Gold Coast Marathon,Gold Coast AUS,7/1/2018,,,,,,,,
Marathon,M,45,45y163d,2:12:47,7967,Kenneth,Mburu Mungara,KEN,9/7/1973,,Hong Kong HKG,2/17/2019,,,,,,,,
Marathon,M,46,46y286d,2:15:24,8124,Reuben,Chesang Kambich,KEN,12/22/1962,Twin Cities Marathon,Saint Paul MN USA,10/4/2009,,,,,,,,
Marathon,M,47,47y122d,2:16:20,8180,Jackson,Kipngok Yegon,KEN,8/16/1960,,Monterrey MEX,12/16/2007,,,,,,,,
Marathon,M,48,48y270d,2:18:57,8337,Ayele,Setegne ,ISR,4/11/1962,,Tiberias ISR,1/6/2011,,,,,,,,
Marathon,M,49,49y113d,2:19:47,8387,Kjell-Erik,Stahl ,SWE,2/17/1946,,Stockholm SWE,6/10/1995,,,,,,,,
Marathon,M,50,50y190d,2:19:29,8369,Titus,Mamabolo ,RSA,1/11/1941,,Durban RSA,7/20/1991,,,,,,,,
Marathon,M,51,51y28d,2:24:18,8658,Piet,vanAlphen ,NED,8/16/1930,,Eugene OR USA,9/13/1981,,,,,,,,
Marathon,M,52,52y236d,2:22:14,8534,Piet,vanAlphen ,NED,8/16/1930,Rotterdam Marathon,Rotterdam NED,4/9/1983,,,,,,,,
Marathon,M,53,53y67d,2:23:44,8624,Piet,vanAlphen ,NED,8/16/1930,,Etten-Leur NED,10/22/1983,,,,,,,,
Marathon,M,54,54y247d,2:26:35,8795,Piet,vanAlphen ,NED,8/16/1930,Rotterdam Marathon,Rotterdam NED,4/20/1985,,,,,,,,
Marathon,M,55,55y246d,2:25:56,8756,Piet,vanAlphen ,NED,8/16/1930,Rotterdam Marathon,Rotterdam NED,4/19/1986,,,,,,,,
Marathon,M,56,56y236d,2:27:5,8825,Erik-Verner,Ostbye ,SWE,1/25/1921,,Goteborg SWE,9/18/1977,,,,,,,,
Marathon,M,57,57y103d,2:33:12,9192,Norman,Green ,USA,6/27/1932,Twin Cities Marathon,Saint Paul MN USA,10/8/1989,,,,,,,,
Marathon,M,58,58y21d,2:35:51,9351,Alex,Ratelle ,USA,9/12/1924,Twin Cities Marathon,Saint Paul MN USA,10/3/1982,,,,,,,,
Marathon,M,59,59y90d,2:30:19,9019,Thomas,Hughes ,IRL,1/8/1960,Rotterdam Marathon,Rotterdam NED,4/7/2019,,,,,,,,
Marathon,M,60,60y27d,2:36:30,9390,Yoshihisa,Hosaka ,JPN,1/5/1949,,Oita JPN,2/1/2009,,,,,,,,
Marathon,M,61,61y33d,2:38:12,9492,Yoshihisa,Hosaka ,JPN,1/5/1949,,Oita JPN,2/7/2010,,,,,,,,
Marathon,M,62,62y202d,2:41:7,9667,John,Gilmour ,AUS,5/3/1919,,Albany AUS,11/21/1981,,,,,,,,
Marathon,M,63,63y30d,2:45:23,9923,John,Shaw ,AUS,6/3/1953,,Gold Coast AUS,7/3/2016,,,,,,,,
Marathon,M,64,64y72d,2:42:44,9764,Clive,Davies ,USA,8/17/1915,Portland Marathon,Portland OR USA,10/28/1979,,,,,,,,
Marathon,M,65,65y128d,2:41:57,9717,Derek,Turnbull ,NZL,12/5/1926,London Marathon,London ENG,4/12/1992,,,,,,,,
Marathon,M,66,66y27d,2:42:49,9769,Clive,Davies ,USA,8/17/1915,,Eugene OR USA,9/13/1981,,,,,,,,
Marathon,M,67,67y45d,2:51:7,10267,Luigi,Passerini ,ITA,2/22/1923,,Mirandola ITA,4/8/1990,,,,,,,,
Marathon,M,68,68y253d,2:51:2,10262,Ed,Whitlock ,CAN,3/6/1931,Columbus Marathon,Columbus OH USA,11/14/1999,,,,,,,,
Marathon,M,69,69y237d,2:52:50,10370,Ed,Whitlock ,CAN,3/6/1931,Columbus Marathon,Columbus OH USA,10/29/2000,,,,,,,,
Marathon,M,70,70y256d,2:54:23,10463,Gene,Dykes ,USA,4/3/1948,Jacksonville Marathon,Jacksonville FL USA,12/15/2018,,,,,,,,
Marathon,M,71,71y305d,3:0:58,10858,John,Keston ,USA,12/5/1924,Twin Cities Marathon,Saint Paul MN USA,10/6/1996,,,,,,,,
Marathon,M,72,72y206d,2:59:10,10750,Ed,Whitlock ,CAN,3/6/1931,Toronto Waterfront Marathon,Toronto ON CAN,9/28/2003,,,,,,,,
Marathon,M,73,73y204d,2:54:49,10489,Ed,Whitlock ,CAN,3/6/1931,Toronto Waterfront Marathon,Toronto ON CAN,9/26/2004,,,,,,,,
Marathon,M,74,74y35d,2:58:40,10720,Ed,Whitlock ,CAN,3/6/1931,Rotterdam Marathon,Rotterdam NED,4/10/2005,,,,,,,,
Marathon,M,75,75y202d,3:8:35,11315,Ed,Whitlock ,CAN,3/6/1931,Toronto Waterfront Marathon,Toronto ON CAN,9/24/2006,,,,,,,,
Marathon,M,76,76y40d,3:4:54,11094,Ed,Whitlock ,CAN,3/6/1931,Rotterdam Marathon,Rotterdam NED,4/15/2007,,,,,,,,
Marathon,M,77,77y143d,3:33:27,12807,Ed,Benham ,USA,7/12/1907,Wigal Champ,San Diego CA USA,12/2/1984,,,,,,,,
Marathon,M,78,78y101d,3:36:59,13019,Warren,Utes ,USA,6/25/1920,Twin Cities Marathon,Saint Paul MN USA,10/4/1998,,,,,,,,
Marathon,M,79,79y289d,3:47:1,13621,Antonino,Caponetto ,ITA,12/11/1931,,Bergamo ITA,9/25/2011,,,,,,,,
Marathon,M,80,80y224d,3:15:54,11754,Ed,Whitlock ,CAN,3/6/1931,Toronto Waterfront Marathon,Toronto ON CAN,10/16/2011,,,,,,,,
Marathon,M,81,81y222d,3:30:29,12629,Ed,Whitlock ,CAN,3/6/1931,Toronto Waterfront Marathon,Toronto ON CAN,10/14/2012,,,,,,,,
Marathon,M,82,82y228d,3:41:58,13318,Ed,Whitlock ,CAN,3/6/1931,Toronto Waterfront Marathon,Toronto ON CAN,10/20/2013,,,,,,,,
Marathon,M,83,83y284d,4:19:7,15547,Antonino,Caponetto ,ITA,12/11/1931,,Porto San Giorgio ITA,9/20/2015,,,,,,,,
Marathon,M,84,84y86d,4:17:51,15471,Ed,Benham ,USA,7/12/1907,Twin Cities Marathon,Saint Paul MN USA,10/6/1991,,,,,,,,
Marathon,M,85,85y224d,3:56:38,14198,Ed,Whitlock ,CAN,3/6/1931,Toronto Waterfront Marathon,Toronto ON CAN,10/16/2016,,,,,,,,
Marathon,M,86,86y128d,4:34:55,16495,Robert,Horman ,AUS,2/26/1918,,Gold Coast AUS,7/4/2004,,,,,,,,
Marathon,M,87,87y72d,5:9:41,18581,Charles,Bancarel ,FRA,8/12/1929,,Toulouse FRA,10/23/2016,,,,,,,,
Marathon,M,88,88y68d,6:5:53,21953,Mike,Fremont ,USA,2/23/1922,,Cincinnati OH USA,5/2/2010,,,,,,,,
Marathon,M,89,89y94d,6:35:38,23738,Sam,Gadless ,USA,11/30/1906,,Los Angeles CA USA,3/3/1996,,,,,,,,
Marathon,M,90,90y261d,6:35:47,23747,Mike,Fremont ,USA,2/23/1922,,Huntington WV USA,11/11/2012,,,,,,,,
Marathon,M,91,91y336d,8:25:55,30355,Sam,Gadless,USA,11/30/1906,NYC Marathon,"New York, NY",11/1/98,,,,,,,,
Marathon,M,92,92y180d,5:40:01,20401,Fauja,Singh,India,4/1/1911,Toronto Waterfront Marathon,Toronto ON CAN,9/28/2003,,,,,,,,
Marathon,M,100,100y198d,8:11:05,29465,Fauja,Singh,India,4/1/1911,Toronto Waterfront Marathon,Toronto ON CAN,10/16/2011
