Event,Gender,Age,Age at Performance,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COURSE_CERT_SOURCE,COMMENTS,
20 km,F,37,37y216d,1:07:01,4021,Janet,Bawcom,USA,8/22/78,,Cardiff WAL,3/26/16,,,
20 km,F,38,38y139d,1:07:53,4073,Colleen,De Reuck,USA,4/16/64,New Haven 20K,New Haven CT USA,9/2/02,,,
20 km,F,39,39y187d,1:05:21,3921,Edith,Masai,KEN,4/4/67,,Debrecen HUN,10/8/06,,,
20 km,F,40,40y45d,1:08:59,4139,Blake,Russell,USA,7/24/75,New Haven 20K,New Haven CT USA,9/7/15,,,
20 km,F,41,41y219d,1:05:52,3952,Deena,Kastor,USA,2/14/73,Rock 'n' Roll Philadelphia H Mar (20K split),"Philadelphia, PA",9/21/14,F40-44 AR,,
20 km,F,42,42y248d,1:09:24,4164,Stephanie,Herbst-Lucke,USA,12/27/65,New Haven 20K,New Haven CT USA,9/1/08,,,
20 km,F,43,43y187d,1:11:29,4289,Tatyana,Pozdniakova,UKR,3/4/55,New Haven 20K,New Haven CT USA,9/7/98,,,
20 km,F,44,44y58d,1:08:48,4128,Nicole,Leveque,FRA,1/27/51,,Vendome FRA,3/26/95,,,
20 km,F,45,45y144d,1:07:21,4041,Colleen,De Reuck,USA,4/16/64,New Haven 20K,New Haven CT USA,9/7/09,,,
20 km,F,46,46y143d,1:10:23,4223,Colleen,De Reuck,USA,4/16/64,New Haven 20K,New Haven CT USA,9/6/10,,,
20 km,F,47,47y77d,1:14:27,4467,Barbara,Filutze,USA,6/21/46,New Haven 20K,New Haven CT USA,9/6/93,,,
20 km,F,48,48y99d,1:17:01,4621,Carla,Ophorst,NED,12/2/58,,Alphen aan den Rijn NED,3/11/07,,,
20 km,F,49,49y149d,1:09:42,4182,Linda,Somers Smith,USA,5/7/61,Rock 'n' Roll San Jose Half Marathon (20K split),"San Jose, CA",10/3/10,F45-49 AR,,
20 km,F,50,50y96d,1:19:06,4746,Carla,Ophorst,NED,12/2/58,,Alphen aan den Rijn NED,3/8/09,,,
20 km,F,51,51y303d,1:17:12,4632,Colleen,De Reuck,USA,4/16/64,Olympic Marathon Trials (20K Split),"Los Angles, CA",2/13/16,F50-54 AR,,
20 km,F,52,52y342d,1:17:43,4663,Kathryn,Martin,USA,9/30/51,New Haven 20K,New Haven CT USA,9/6/04,,net time,
20 km,F,53,53y341d,1:21:22,4882,Kathryn,Martin,USA,9/30/51,New Haven 20K,New Haven CT USA,9/5/05,,,
20 km,F,54,54y166d,1:25:40,5140,Jo,Marchetti,USA,3/19/43,New Haven 20K,New Haven CT USA,9/1/97,RRIC & Andy Carr,,
20 km,F,55,55y42d,1:18:44,4724,Rae,Baymiller,USA,7/27/43,New Haven 20K,New Haven CT USA,9/7/98,,,
20 km,F,56,56y9d,1:20:36,4836,Shirley,Matson,USA,11/7/40,Mission Bay 25K (20K Split),"San Diego, CA",11/16/96,RRIC & Andy Carr,,
20 km,F,57,57y115d,1:23:27,5007,Chantal,Langlace,FRA,1/6/55,,Maroilles FRA,5/1/12,,,
20 km,F,58,58y103d,1:29:22,5362,Margaret,Miller,USA,12/12/25,Capitol City Classic 12K,"Sacramento, CA",3/25/84,RRIC & Andy Carr,,
20 km,F,59,59y292d,1:30:56,5456,Wen-Shi,Yu,USA,11/17/34,New Haven 20K,New Haven CT USA,9/5/94,RRIC & Andy Carr,,
20 km,F,60,60y115d,1:26:44,5204,Chantal,Langlace,FRA,1/6/55,,Maroilles FRA,5/1/15,,,
20 km,F,61,61y115d,1:26:37,5197,Chantal,Langlace,FRA,1/6/55,,Maroilles FRA,5/1/16,,,
20 km,F,62,,1:35:21,5721,Cory,Benson,USA,,New Haven 20K,New Haven CT USA,9/2/19,CT15054JHP,,
20 km,F,63,63y54d,1:36:31,5791,Patrica,Dixon,USA,2/15/19,Pear Blossom,"Medford, OR",4/10/82,RRIC & Andy Carr,,
20 km,F,64,64y143d,1:39:48,5988,Sharon,Dolan,USA,2/11/42,Volkslauffe,"Frankenmuth, MI",7/4/06,MI96018SH,,
20 km,F,65,65y156d,1:27:45,5265,Kathryn,Martin,USA,9/30/51,USATF 50km Champs (20K split),"Lloyd Neck, NY",3/5/17,F65-69 AR,,
20 km,F,66,66y282d,1:40:22,6022,Margret,Betz,USA,9/12/36,Vestall XX,Vestal NY USA,6/21/03,,,
20 km,F,67,67y90d,1:42:50,6170,Jaclyn,Casseli,USA,3/28/21,Oakland Double,"Oakland, CA",06/26/1988,RRIC & Andy Carr,,
20 km,F,68,68y103d,1:49:52,6592,Jaclyn,Casseli,USA,3/28/21,Oakland Double,"Oakland, CA",07/09/1989,RRIC & Andy Carr,,
20 km,F,69,69y36d,1:45:32,6332,Anna,Thornhill,USA,8/2/40,New Haven 20K,"New Haven, CT",9/7/09,CT01017DR,,
20 km,F,70,70y176d,1:34:36,5676,Jeannie,Rice,USA,4/14/48,Chicago Marathon (20K split),"Chicago,IL",10/7/18,pending F70-74 AR ,,
20 km,F,71,71y166d,1:56:51,7011,Loretta,Shehan,USA,2/21/23,Phelps Sauerkraut,"Phelps, NY",8/6/94,RRIC & Andy Carr,,
20 km,F,72,72y20d,2:01:08,7268,Anne,Clarke,USA,9/21/09,Avon Women's,"Chicago, IL",10/11/81,RRIC & Andy Carr,,
20 km,F,73,73y19d,1:59:33,7173,Anne,Clarke,USA,9/21/09,Avon Women's,"Chicago, IL",10/10/82,RRIC & Andy Carr,,
20 km,F,74,74y178d,1:54:57,6897,Leona,Lugers,USA,11/26/06,Tulip Time,"Holland, MI",5/23/81,RRIC & Andy Carr,,
20 km,F,75,75y246d,1:58:51,7131,Toshiko,d'Elia,USA,1/2/30,New Haven 20K,New Haven CT USA,9/5/05,,,
20 km,F,76,76y176d,1:56:37,6997,Leona,Lugers,USA,11/26/06,Tulip Time,"Holland, MI",5/21/83,RRIC & Andy Carr,,
20 km,F,77,77y181d,1:52:57,6777,Leona,Lugers,USA,11/26/06,Tulip Time,"Holland, MI",5/26/84,RRIC & Andy Carr,,
20 km,F,80,80y261d,2:26:34,8794,Ruth,Rothfarb,USA,6/18/01,Avon,"Washington, DC",3/6/82,RRIC & Andy Carr,,
