Event,Gender,Age,Age at Performance,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COURSE_CERT_SOURCE,COMMENTS
15 km,M,31,31y56d,42:25,2545,Geoffrey,Mutai Kiprono,KEN,10/7/81,,s-Heerenberg NED,12/2/12,,
15 km,M,27,27y29d,42:28,2548,Michael,Musyoki ,KEN,5/28/56,Cascade Run Off,Portland OR USA,6/26/83,,
15 km,M,34,34y137d,42:33,2553,Andrew,Masai ,KEN,1/13/60,,La Courneuve FRA,5/29/94,,
15 km,M,38,38y216d,42:44,2564,Haile,Gebreselasie ,ETH,4/18/73,,Nijmegen NED,11/20/11,,
15 km,M,18,18y96d,42:45,2565,Lazarus,Nyakeraka Oyondi,KEN,11/22/75,Gasparilla Distance Classic 15K,Tampa FL USA,2/26/94,,
15 km,M,37,37y237d,43:20,2600,Carlos,Lopes ,POR,2/18/47,,El Paso TX USA,10/13/84,,
15 km,M,39,39y65d,43:41,2621,Joseph,Nzau ,KEN,4/14/50,Cascade Run Off,Portland OR USA,6/18/89,,
15 km,M,15,15y204d,43:43,2623,Meck,Mothuli ,RSA,4/12/76,,Cape Town RSA,11/2/91,,
15 km,M,16,16y310d,43:46,2626,Daniel,Andrea Sipe,TAN,6/30/84,,Breda NED,5/6/01,,
15 km,M,36,36y140d,43:48,2628,Chris,Fox ,USA,10/22/58,Gates River Run 15k ,Jacksonville FL USA,3/11/95,,
15 km,M,40,40y128d,44:14,2654,Pierre,Levisse ,FRA,2/21/52,Cascade Run Off,Portland OR USA,6/28/92,,
15 km,M,41,41y99d,44:30,2670,Martin,Mondragon Avila,MEX,11/11/53,Gasparilla Distance Classic 15K,Tampa FL USA,2/18/95,,
15 km,M,44,44y35d,44:57,2697,Luketz,Swartbooi ,NAM,2/6/66,,Cape Town RSA,3/13/10,,
15 km,M,42,42y210d,45:07,2707,Antonio,Villanueva ,MEX,7/25/40,,Phoenix AZ USA,2/20/83,,
15 km,M,43,43y131d,45:12,2712,Willie,Kosgei Kipsubei,KEN,2/1/51,,Ratekau GER,6/12/94,,
15 km,M,46,46y113d,45:37,2737,Kevin ,Castille,USA,3/17/72,Utica Boilermaker 15K,"Utica, NY",7/8/18,Pending M45-49 AR,
15 km,M,45,45y98d,45:56,2756,Mbarak,Hussein ,USA,4/4/65,Utica Boilermaker 15K,Utica NY USA,7/11/10,,
15 km,M,47,47y266d,46:08,2768,Stephen,Moneghetti ,AUS,9/26/62,,Ballarat AUS,6/19/10,,
15 km,M,48,48y187d,47:13,2833,Stephen,Moneghetti ,AUS,9/26/62,,Ballarat AUS,4/1/11,,
15 km,M,49,49y256d,47:49,2869,Stephen,Moneghetti ,AUS,9/26/62,,Ballarat AUS,6/9/12,,
15 km,M,50,50y295d,47:52,2872,Titus,Mamabolo ,RSA,1/11/41,,Cape Town RSA,11/2/91,,
15 km,M,53,53y3d,49:24,2934,Norm,Green,USA,6/27/32,Cascade Run Off,"Portland, OR",6/30/85,M50-54 AR,
15 km,M,52,52y20d,48:59,2939,Vladimir,Kotov ,BLR,2/21/58,,Cape Town RSA,3/13/10,,
15 km,M,51,51y320d,49:15,2955,Norm,Green,USA,6/27/32,Dynamis,"Fayetteville, NY",5/13/84,RRIC & Andy Carr,
15 km,M,54,54y225d,50:07,3007,Norm,Green,USA,6/27/32,Gasparilla Distance Classic 15K,"Tampa, FL",2/7/87,RRIC & Andy Carr,
15 km,M,55,55y273d,50:45,3045,Norm,Green,USA,6/27/32,Cherry Blossom 10 Mile (15K split),"Washington, DC",3/27/88,RRIC & Andy Carr,
15 km,M,56,56y351d,50:57,3057,Alex,Ratelle,USA,9/12/24,Minnesota Masters/Dannon,"Minneapolis, MN",8/29/81,RRIC & Andy Carr,
15 km,M,57,57y278d,51:18,3078,Norm,Green,USA,6/27/32,Cherry Blossom 10 Mile (15K split),"Washington, DC",4/1/90,RRIC & Andy Carr,
15 km,M,54,54y18d,51:47,3107,Vladimir,Kotov ,BLR,2/21/58,,Cape Town RSA,3/10/12,,
15 km,M,58,58y88d,52:33,3153,Norm,Green,USA,6/27/32,Minnesota TAC Masters,"Edina, MN",9/23/90,RRIC & Andy Carr,
15 km,M,59,59y285d,53:29,3209,Fay,Bradley ,USA,1/13/38,Tulsa Run,"Tulsa, OK",10/25/97,RRIC & Andy Carr,
15 km,M,60,60y245d,54:20,3260,Norm,Green,USA,6/27/32,Gasparilla Distance Classic 15K,"Tampa, FL",2/27/93,M60-64 AR,
15 km,M,62,62y323d,54:23,3263,Clive,Davies,USA,8/7/15,Cascade Run Off,"Portland, OR",6/25/78,Prev. M60-64 AR,
15 km,M,61,61y133d,54:47,3287,Norman,Green ,USA,6/27/32,Stockade-athon 15K,Schenectady NY USA,11/7/93,,
15 km,M,69,69y125d,55:04,3304,Ed,Whitlock ,CAN,3/6/31,Utica Boilermaker 15K,Utica NY USA,7/9/00,,
15 km,M,64,64y327d,55:09,3309,Clive,Davies,USA,8/7/15,Cascade Run Off,"Portland, OR",6/29/80,RRIC & Andy Carr,
15 km,M,65,65y326d,55:16,3316,Clive,Davies,USA,8/7/15,Cascade Run Off,"Portland, OR",6/28/81,RRIC & Andy Carr,
15 km,M,63,63y322d,55:48,3348,Clive,Davies,USA,8/7/15,Cascade Run Off,"Portland, OR",6/24/79,,
15 km,M,64,64y8d,56:48,3408,Bert,Streumer ,NED,11/7/45,,Nijmegen NED,11/15/09,,
15 km,M,67,67y324d,57:29,3449,Clive,Davies,USA,8/7/15,Cascade Run Off,"Portland, OR",6/26/83,RRIC & Andy Carr,
15 km,M,73,73y253d,58:57,3537,Ed,Whitlock ,CAN,3/6/31,Stockade-athon 15K,Schenectady NY USA,11/14/04,,
15 km,M,71,71y19d,59:29,3569,Joop,Ruter ,NED,4/19/33,,Papendrecht NED,5/8/04,,
15 km,M,74,74y252d,59:43,3583,Ed,Whitlock ,CAN,3/6/31,Stockade-athon 15K,Schenectady NY USA,11/13/05,,
15 km,M,10,10y323d,1:00:54,3654,Liam,Ballard ,USA,4/3/05,Gasparilla Distance Classic 15K,Tampa FL USA,2/20/16,,
15 km,M,9,9y315d,1:03:42,3822,Cade,Deterding ,USA,4/2/07,,Nashville TN USA,2/11/17,,
15 km,M,11,11y315d,1:05:37,3937,Noah,Bliss ,USA,12/29/03,,Chicago IL USA,11/8/15,,
15 km,M,78,78y247d,1:06:13,3973,Ed,Whitlock ,CAN,3/6/31,Stockade-athon 15K,Schenectady NY USA,11/8/09,,
15 km,M,79,79y246d,1:06:46,4006,Ed,Whitlock ,CAN,3/6/31,Stockade-athon 15K,Schenectady NY USA,11/7/10,,
15 km,M,80,80y252d,1:07:05,4025,Ed,Whitlock ,CAN,3/6/31,Stockade-athon 15K,Schenectady NY USA,11/13/11,,
15 km,M,77,77y212d,1:07:09,4029,Ed,Bedham,USA,7/12/07,Gasparilla Distance Classic 15K,"Tampa, FL",2/9/85,RRIC & Andy Carr,
15 km,M,7,7y227d,1:07:42,4062,Grattan,O'Neill ,USA,2/26/07,,Huntsville AL USA,10/11/14,,
15 km,M,76,76y248d,1:08:00,4080,Doug,Goodhue,USA,2/21/42,USATF Masters 15K Championships,"Tulsa, OK",10/27/18,OK18052DG,
15 km,M,83,83y270d,1:08:37,4117,Ed,Bedham,USA,7/12/07,Cherry Blossom 10 Mile (15K split),"Washington, DC",4/7/91,M80-84 AR,
15 km,M,82,82y249d,1:09:11,4151,Ed,Whitlock ,CAN,3/6/31,Stockade-athon 15K,Schenectady NY USA,11/10/13,,
15 km,M,8,8y218d,1:09:58,4198,Christopher,Tolson ,USA,8/2/94,Gates River Run 15k ,Jacksonville FL USA,3/8/03,,
15 km,M,77,77y160d,1:10:04,4204,Joseph,Burgasser ,USA,9/13/38,Gasparilla Distance Classic 15K,Tampa FL USA,2/20/16,,
15 km,M,12,12y80d,1:13:41,4421,Ethan,Wolfe ,USA,12/16/03,,Tyler TX USA,3/5/16,,
15 km,M,84,84y113d,1:14:38,4478,Ed,Bedham,USA,7/12/07,Tulsa Run 15K,"Tulsa, OK",11/2/91,RRIC & Andy Carr,
15 km,M,85,85y252d,1:15:10,4510,Ed,Whitlock ,CAN,3/6/31,Stockade-athon 15K,Schenectady NY USA,11/13/16,,
15 km,M,81,81y211d,1:15:41,4541,Joop,Ruter ,NED,4/19/33,,Nijmegen NED,11/16/14,,
15 km,M,6,6y263d,1:21:09,4869,Joseph-Jackson,Herrera ,USA,8/12/08,,Canby OR USA,5/2/15,,
15 km,M,86,86y61d,1:35:20,5720,Paul,Spangler,USA,3/18/1899,Duke Classic,NC,5/18/85,RRIC & Andy Carr,
15 km,M,83,83y60d,1:40:16,6016,August,Leone ,USA,1/8/30,Gates River Run 15k ,Jacksonville FL USA,3/9/13,,
15 km,M,87,87y190d,1:41:24,6084,Lou,Lodovico,USA,2/28/24,Buffalo 15K,"Buffalo, NY",9/5/11,RRIC & Andy Carr,
15 km,M,5,5y268d,2:01:06,7266,Cole,Breuer ,USA,6/16/06,Gates River Run 15k ,Jacksonville FL USA,3/10/12,,
15 km,M,90,90y56d,2:01:41,7301,Henry,Sypniewski ,USA,7/7/18,Buffalo 15K,Buffalo NY USA,9/1/08,,
15 km,M,88,88y188d,2:06:11,7571,Louis,Lodovico ,USA,2/28/24,Buffalo 15K,Buffalo NY USA,9/3/12,,
15 km,M,91,91y62d,2:09:24,7764,Henry,Sypniewski ,USA,7/7/18,Buffalo 15K,Buffalo NY USA,9/7/09,,
,,,,,,, ,,,,,,,
,,,,,,, ,,,,,,,
,,,,,,, ,,,,,,,
